trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.476361100000304,16.47164950000024,16.478611400000318,up,1,0.821017099999608,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
1,0,1,0,17.31242340000017,18.312671200000295,18.312671200000295,down,0,0.5805665999996563,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
2,0,2,0,18.913024899999982,19.913364300000012,19.913364300000012,up,1,0.6332246999995732,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
3,0,3,0,20.563564000000042,21.563968599999953,21.563968599999953,up,0,0.6963182999993478,None,4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
4,0,4,0,22.280941800000164,23.28128390000029,23.28128390000029,down,1,0.4854756999993697,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
5,0,5,0,23.798100299999987,24.798509400000057,24.798509400000057,up,0,0.5246723999998721,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
6,0,6,0,25.348809300000084,26.3492040000001,26.3492040000001,down,0,0.47957169999972393,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
7,0,7,0,26.849297000000206,27.849621000000297,27.849621000000297,up,0,0.3185360999996192,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
8,0,8,0,28.19985110000016,29.200202999999874,29.200202999999874,down,1,0.3141531999995095,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
9,0,9,0,29.5337356,30.534030300000268,30.534030300000268,up,0,0.35965739999937796,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
10,0,10,0,30.917529300000297,31.917821000000004,31.917821000000004,down,1,0.37015979999932824,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
11,0,11,0,32.31799080000019,33.31840030000012,33.31840030000012,up,0,0.39698369999950955,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
12,0,12,0,33.735227900000154,34.7355493,34.7355493,down,1,0.04333399999950416,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
13,0,13,0,34.80228160000024,35.80264390000002,35.80264390000002,down,1,0.3825162999996792,None,4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
14,0,14,0,36.20291420000012,37.20318040000029,37.20318040000029,up,0,0.3055402999998478,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
15,0,15,0,37.536660799999936,38.537095300000146,38.537095300000146,up,1,0.7090730999993866,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
16,0,16,0,39.2706318999999,40.271043799999916,40.271043799999916,down,1,0.5744723999996495,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
17,0,17,0,40.87126760000001,41.87163760000021,41.87163760000021,down,0,0.1445040999997218,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
18,0,18,0,42.03835690000005,43.03878200000008,43.03878200000008,up,1,0.35057599999981903,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
19,0,19,0,43.42222170000014,44.422596500000054,44.422596500000054,down,0,0.20892479999974967,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
20,0,20,0,44.65600399999994,45.656354700000065,45.656354700000065,up,0,0.2617198999996617,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
